yaw,pitch
9.000000000000000000e+01,1.200000000000000000e+02
9.037773662995370216e+01,1.199976218230444260e+02
9.075541337160414912e+01,1.199904876692260842e+02
9.113297034614312508e+01,1.199785986696303155e+02
9.151034769375085887e+01,1.199619567092001091e+02
9.188748558308658687e+01,1.199405644264372626e+02
9.226432422077446915e+01,1.199144252129840140e+02
9.264080386088355112e+01,1.198835432130854031e+02
9.301686481440023613e+01,1.198479233229321039e+02
9.339244745869160624e+01,1.198075711898842428e+02
9.376749224695835494e+01,1.197624932115760146e+02
9.414193971767564051e+01,1.197126965349013972e+02
9.451573050402039655e+01,1.196581890548809497e+02
9.488880534328367844e+01,1.195989794134102056e+02
9.526110508626642570e+01,1.195350769978895045e+02
9.563257070665738979e+01,1.194664919397356329e+02
9.600314331039133720e+01,1.193932351127755851e+02
9.637276414498649046e+01,1.193153181315225453e+02
9.674137460885945927e+01,1.192327533493344589e+02
9.710891626061618354e+01,1.191455538564554786e+02
9.747533082831756701e+01,1.190537334779405683e+02
9.784056021871819553e+01,1.189573067714636352e+02
9.820454652647677563e+01,1.188562890250094028e+02
9.856723204333665933e+01,1.187506962544496503e+02
9.892855926727531823e+01,1.186405452010039738e+02
9.928847091162091942e+01,1.185258533285854980e+02
9.964690991413488064e+01,1.184066388210320611e+02
1.000038194460588272e+02,1.182829205792233438e+02
1.003591429211244730e+02,1.181547182180840991e+02
1.007128240045251601e+02,1.180220520634743906e+02
1.010648066218473957e+02,1.178849431489670110e+02
1.014150349679612475e+02,1.177434132125126638e+02
1.017634535158678943e+02,1.175974846929935893e+02
1.021100070255032648e+02,1.174471807266659340e+02
1.024546405524959596e+02,1.172925251434916305e+02
1.027972994568785339e+02,1.171335424633602997e+02
1.031379294117503207e+02,1.169702578922016585e+02
1.034764764118907010e+02,1.168026973179893560e+02
1.038128867823213994e+02,1.166308873066364526e+02
1.041471071868163989e+02,1.164548550977836214e+02
1.044790846363580812e+02,1.162746286004803267e+02
1.048087664975384428e+02,1.160902363887601325e+02
1.051361005009037939e+02,1.159017076971102398e+02
1.054610347492419180e+02,1.157090724158366726e+02
1.057835177258100430e+02,1.155123610863251997e+02
1.061034983025026008e+02,1.153116048961992135e+02
1.064209257479573694e+02,1.151068356743750343e+02
1.067357497355985885e+02,1.148980858860156502e+02
1.070479203516161135e+02,1.146853886273834746e+02
1.073573881028789430e+02,1.144687776205930732e+02
1.076641039247820686e+02,1.142482872082647987e+02
1.079680191890255543e+02,1.140239523480798027e+02
1.082690857113242089e+02,1.137958086072377455e+02
1.085672557590469722e+02,1.135638921568177437e+02
1.088624820587847921e+02,1.133282397660436800e+02
1.091547178038454575e+02,1.130888887964545830e+02
1.094439166616746775e+02,1.128458771959811031e+02
1.097300327812018566e+02,1.125992434929291477e+02
1.100130208001094871e+02,1.123490267898713029e+02
1.102928358520252488e+02,1.120952667574473764e+02
1.105694335736352230e+02,1.118380036280747873e+02
1.108427701117176269e+02,1.115772781895699381e+02
1.111128021300953463e+02,1.113131317786814662e+02
1.113794868165068408e+02,1.110456062745365102e+02
1.116427818893937314e+02,1.107747440920010149e+02
1.119026456046043734e+02,1.105005881749549985e+02
1.121590367620121356e+02,1.102231819894841180e+02
1.124119147120475759e+02,1.099425695169881720e+02
1.126612393621431067e+02,1.096587952472082037e+02
1.129069711830895812e+02,1.093719041711728295e+02
1.131490712153034224e+02,1.090819417740650863e+02
1.133875010750034562e+02,1.087889540280110339e+02
1.136222229602964831e+02,1.084929873847910642e+02
1.138531996571706060e+02,1.081940887684752113e+02
1.140803945453953077e+02,1.078923055679835841e+02
1.143037716043274088e+02,1.075876856295730164e+02
1.145232954186219700e+02,1.072802772492513839e+02
1.147389311838472565e+02,1.069701291651203974e+02
1.149506447120027417e+02,1.066572905496485077e+02
1.151584024369395109e+02,1.063418110018748024e+02
1.153621714196819710e+02,1.060237405395452868e+02
1.155619193536501967e+02,1.057031295911828863e+02
1.157576145697819499e+02,1.053800289880922065e+02
1.159492260415536720e+02,1.050544899563005004e+02
1.161367233898996005e+02,1.047265641084359942e+02
1.163200768880281828e+02,1.043963034355449935e+02
1.164992574661351625e+02,1.040637602988489334e+02
1.166742367160124445e+02,1.037289874214427670e+02
1.168449868955520117e+02,1.033920378799360122e+02
1.170114809331443979e+02,1.030529650960376387e+02
1.171736924319707072e+02,1.027118228280863832e+02
1.173315956741877244e+02,1.023686651625275772e+02
1.174851656250052940e+02,1.020235465053380608e+02
1.176343779366555822e+02,1.016765215734003220e+02
1.177792089522531569e+02,1.013276453858274522e+02
1.179196357095457870e+02,1.009769732552400825e+02
1.180556359445549077e+02,1.006245607789968659e+02
1.181871880951055545e+02,1.002704638303798106e+02
1.183142713042448406e+02,9.991473854973578739e+01
1.184368654235488378e+02,9.955744133557580255e+01
1.185549510163168918e+02,9.919862883563324374e+01
1.186685093606533030e+02,9.883835793788269086e+01
1.187775224524355764e+02,9.847668576152062769e+01
1.188819730081688562e+02,9.811366964790936152e+01
1.189818444677261624e+02,9.774936715148599831e+01
1.190771209969739317e+02,9.738383603063729765e+01
1.191677874902824072e+02,9.701713423854246798e+01
1.192538295729205799e+02,9.664931991398496791e+01
1.193352336033352543e+02,9.628045137213480587e+01
1.194119866753138126e+02,9.591058709530307169e+01
1.194840766200304358e+02,9.553978572366973765e+01
1.195514920079754404e+02,9.516810604598660461e+01
1.196142221507673753e+02,9.479560699025664405e+01
1.196722571028475670e+02,9.442234761439121371e+01
1.197255876630569844e+02,9.404838709684669595e+01
1.197742053760949688e+02,9.367378472724210781e+01
1.198181025338598999e+02,9.329859989695900424e+01
1.198572721766711595e+02,9.292289208972516690e+01
1.198917080943726319e+02,9.254672087218392562e+01
1.199214048273172608e+02,9.217014588444996548e+01
1.199463576672326326e+02,9.179322683065385036e+01
1.199665626579675148e+02,9.141602346947607316e+01
1.199820165961189957e+02,9.103859560467270740e+01
1.199927170315404368e+02,9.066100307559381122e+01
1.199986622677299124e+02,9.028330574769610450e+01
1.199998513620991787e+02,8.990556350305170952e+01
1.199962841261231148e+02,8.952783623085403519e+01
1.199879611253696226e+02,8.915018381792269508e+01
1.199748836794099134e+02,8.877266613920872373e+01
1.199570538616093955e+02,8.839534304830172573e+01
1.199344744987988349e+02,8.801827436794033588e+01
1.199071491708262585e+02,8.764151988052763897e+01
1.198750822099893583e+02,8.726513931865297025e+01
1.198382787003485959e+02,8.688919235562157439e+01
1.197967444769212335e+02,8.651373859599371485e+01
1.197504861247561223e+02,8.613883756613465437e+01
1.196995109778897586e+02,8.576454870477705583e+01
1.196438271181834239e+02,8.539093135359725295e+01
1.195834433740419342e+02,8.501804474780688281e+01
1.195183693190138570e+02,8.464594800676148623e+01
1.194486152702737485e+02,8.427470012458735482e+01
1.193741922869863430e+02,8.390435996082840120e+01
1.192951121685532456e+02,8.353498623111414645e+01
1.192113874527421302e+02,8.316663749785072923e+01
1.191230314136989819e+02,8.279937216093610175e+01
1.190300580598435403e+02,8.243324844850097577e+01
1.189324821316483138e+02,8.206832440767706771e+01
1.188303190993015335e+02,8.170465789539402124e+01
1.187235851602545154e+02,8.134230656920641422e+01
1.186122972366535180e+02,8.098132787815251277e+01
1.184964729726569033e+02,8.062177905364593755e+01
1.183761307316377156e+02,8.026371710040197627e+01
1.182512895932722472e+02,7.990719878739965054e+01
1.181219693505150445e+02,7.955228063888139900e+01
1.179881905064608532e+02,7.919901892539132859e+01
1.178499742710939557e+02,7.884746965485388159e+01
1.177073425579253865e+02,7.849768856369398407e+01
1.175603179805187466e+02,7.814973110800032430e+01
1.174089238489047773e+02,7.780365245473308278e+01
1.172531841658858696e+02,7.745950747297746375e+01
1.170931236232303121e+02,7.711735072524446366e+01
1.169287675977577550e+02,7.677723645882026915e+01
1.167601421473156620e+02,7.643921859716557776e+01
1.165872740066480588e+02,7.610335073136633355e+01
1.164101905831568473e+02,7.576968611163711387e+01
1.162289199525564811e+02,7.543827763887856008e+01
1.160434908544227426e+02,7.510917785629018795e+01
1.158539326876361599e+02,7.478243894103991352e+01
1.156602755057210032e+02,7.445811269599168725e+01
1.154625500120804134e+02,7.413625054149228788e+01
1.152607875551285730e+02,7.381690350721896721e+01
1.150550201233205030e+02,7.350012222408891205e+01
1.148452803400805351e+02,7.318595691623195876e+01
1.146316014586299161e+02,7.287445739302779657e+01
1.144140173567147798e+02,7.256567304120892459e+01
1.141925625312349410e+02,7.225965281703068399e+01
1.139672720927745502e+02,7.195644523850940288e+01
1.137381817600355731e+02,7.165609837773016011e+01
1.135053278541746522e+02,7.135865985322512017e+01
1.132687472930446830e+02,7.106417682242397404e+01
1.130284775853415482e+02,7.077269597417719638e+01
1.127845568246573862e+02,7.048426352135388129e+01
1.125370236834409923e+02,7.019892519351488147e+01
1.122859174068665311e+02,6.991672622966257222e+01
1.120312778066113424e+02,6.963771137106847675e+01
1.117731452545440618e+02,6.936192485417970488e+01
1.115115606763237963e+02,6.908941040360554098e+01
1.112465655449116042e+02,6.882021122518509060e+01
1.109782018739951326e+02,6.855436999913719376e+01
1.107065122113276061e+02,6.829192887329367068e+01
1.104315396319819911e+02,6.803292945641706524e+01
1.101533277315217276e+02,6.777741281160365361e+01
1.098719206190888542e+02,6.752541944977322430e+01
1.095873629104106897e+02,6.727698932324618397e+01
1.092996997207262666e+02,6.703216181940932472e+01
1.090089766576334682e+02,6.679097575447114821e+01
1.087152398138582754e+02,6.655346936730778395e+01
1.084185357599468489e+02,6.631968031340034031e+01
1.081189115368821234e+02,6.608964565886485332e+01
1.078164146486255675e+02,6.586340187457560091e+01
1.075110930545858139e+02,6.564098483038289089e+01
1.072029951620147585e+02,6.542242978942596210e+01
1.068921698183329596e+02,6.520777140254226367e+01
1.065786663033850630e+02,6.499704370277376597e+01
1.062625343216267026e+02,6.479028009997109905e+01
1.059438239942441555e+02,6.458751337549659866e+01
1.056225858512078162e+02,6.438877567702704141e+01
1.052988708232609554e+02,6.419409851345676543e+01
1.049727302338448851e+02,6.400351274990201489e+01
1.046442157909618658e+02,6.381704860280753167e+01
1.043133795789770772e+02,6.363473563515583464e+01
1.039802740503608902e+02,6.345660275178013876e+01
1.036449520173727592e+02,6.328267819478166700e+01
1.033074666436881159e+02,6.311298953905198061e+01
1.029678714359695419e+02,6.294756368790113044e+01
1.026262202353834994e+02,6.278642686879225465e+01
1.022825672090641405e+02,6.262960462918333349e+01
1.019369668415253187e+02,6.247712183247680429e+01
1.015894739260223787e+02,6.232900265407754858e+01
1.012401435558649041e+02,6.218527057756001142e+01
1.008890311156819450e+02,6.204594839094500003e+01
1.005361922726411450e+02,6.191105818308676589e+01
1.001816829676228622e+02,6.178062134017089591e+01
9.982555940635106140e+01,6.165465854232364507e+01
9.946787805048222708e+01,6.153318976033322940e+01
9.910869560865351957e+01,6.141623425248351964e+01
9.874806902749203630e+01,6.130381056150077512e+01
9.838605548258607314e+01,6.119593651161370929e+01
9.802271236942033283e+01,6.109262920572765410e+01
9.765809729427606101e+01,6.099390502271286607e+01
9.729226806509784353e+01,6.089977961480782653e+01
9.692528268232855737e+01,6.081026790513760005e+01
9.655719932971354069e+01,6.072538408534785503e+01
9.618807636507591496e+01,6.064514161335488751e+01
9.581797231106423851e+01,6.056955321121186842e+01
9.544694584587401209e+01,6.049863086309186144e+01
9.507505579394452866e+01,6.043238581338781756e+01
9.470236111663254519e+01,6.037082856492975935e+01
9.432892090286426878e+01,6.031396887731968093e+01
9.395479435976709226e+01,6.026181576538415641e+01
9.358004080328254304e+01,6.021437749774511872e+01
9.320471964876209370e+01,6.017166159550890825e+01
9.282889040154714166e+01,6.013367483107380451e+01
9.245261264753466435e+01,6.010042322705632500e+01
9.207594604373022662e+01,6.007191205533636236e+01
9.169895030878964803e+01,6.004814583622136581e+01
9.132168521355087876e+01,6.002912833772963097e+01
9.094421057155760479e+01,6.001486257499293941e+01
9.056658622957615989e+01,6.000535080977850555e+01
9.018887205810707997e+01,6.000059455013038701e+01
8.981112794189293425e+01,6.000059455013038701e+01
8.943341377042385432e+01,6.000535080977850555e+01
8.905578942844242363e+01,6.001486257499293941e+01
8.867831478644914966e+01,6.002912833772963097e+01
8.830104969121036618e+01,6.004814583622136581e+01
8.792405395626978759e+01,6.007191205533636236e+01
8.754738735246534986e+01,6.010042322705632500e+01
8.717110959845288676e+01,6.013367483107380451e+01
8.679528035123790630e+01,6.017166159550890825e+01
8.641995919671747117e+01,6.021437749774511872e+01
8.604520564023293616e+01,6.026181576538415641e+01
8.567107909713574543e+01,6.031396887731967382e+01
8.529763888336746902e+01,6.037082856492975225e+01
8.492494420605548555e+01,6.043238581338781046e+01
8.455305415412600212e+01,6.049863086309186144e+01
8.418202768893576149e+01,6.056955321121186842e+01
8.381192363492409925e+01,6.064514161335488041e+01
8.344280067028648773e+01,6.072538408534785503e+01
8.307471731767147105e+01,6.081026790513759295e+01
8.270773193490217068e+01,6.089977961480782653e+01
8.234190270572396741e+01,6.099390502271286607e+01
8.197728763057968138e+01,6.109262920572764699e+01
8.161394451741392686e+01,6.119593651161370929e+01
8.125193097250797791e+01,6.130381056150076802e+01
8.089130439134649464e+01,6.141623425248351964e+01
8.053212194951780134e+01,6.153318976033322230e+01
8.017444059364893860e+01,6.165465854232363796e+01
7.981831703237715203e+01,6.178062134017088169e+01
7.946380772735886922e+01,6.191105818308675879e+01
7.911096888431806917e+01,6.204594839094500003e+01
7.875985644413512432e+01,6.218527057756000431e+01
7.841052607397763552e+01,6.232900265407754148e+01
7.806303315847469548e+01,6.247712183247679718e+01
7.771743279093587375e+01,6.262960462918333349e+01
7.737377976461651485e+01,6.278642686879224755e+01
7.703212856403048647e+01,6.294756368790112333e+01
7.669253335631188406e+01,6.311298953905198061e+01
7.635504798262725501e+01,6.328267819478165990e+01
7.601972594963912400e+01,6.345660275178013165e+01
7.568662042102293697e+01,6.363473563515582043e+01
7.535578420903814845e+01,6.381704860280752456e+01
7.502726976615512910e+01,6.400351274990200068e+01
7.470112917673905883e+01,6.419409851345675122e+01
7.437741414879219803e+01,6.438877567702704141e+01
7.405617600575585868e+01,6.458751337549658444e+01
7.373746567837331156e+01,6.479028009997108484e+01
7.342133369661495124e+01,6.499704370277376597e+01
7.310783018166705460e+01,6.520777140254226367e+01
7.279700483798525568e+01,6.542242978942593368e+01
7.248890694541421453e+01,6.564098483038287668e+01
7.218358535137443255e+01,6.586340187457560091e+01
7.188108846311789080e+01,6.608964565886483911e+01
7.158146424005316533e+01,6.631968031340034031e+01
7.128476018614173881e+01,6.655346936730776974e+01
7.099102334236653178e+01,6.679097575447114821e+01
7.070030027927376182e+01,6.703216181940931051e+01
7.041263708958932455e+01,6.727698932324616976e+01
7.012807938091116000e+01,6.752541944977322430e+01
6.984667226847828658e+01,6.777741281160365361e+01
6.956846036801802313e+01,6.803292945641705103e+01
6.929348778867240810e+01,6.829192887329365647e+01
6.902179812600486741e+01,6.855436999913717955e+01
6.875343445508841000e+01,6.882021122518509060e+01
6.848843932367623211e+01,6.908941040360552677e+01
6.822685474545595241e+01,6.936192485417969067e+01
6.796872219338865762e+01,6.963771137106846254e+01
6.771408259313348310e+01,6.991672622966255801e+01
6.746297631655900773e+01,7.019892519351486726e+01
6.721544317534262802e+01,7.048426352135386708e+01
6.697152241465846600e+01,7.077269597417718217e+01
6.673125270695531697e+01,7.106417682242395983e+01
6.649467214582534780e+01,7.135865985322510596e+01
6.626181823996444109e+01,7.165609837773013169e+01
6.603272790722544983e+01,7.195644523850940288e+01
6.580743746876507316e+01,7.225965281703066978e+01
6.558598264328522021e+01,7.256567304120891038e+01
6.536839854137009809e+01,7.287445739302776815e+01
6.515471965991947911e+01,7.318595691623194455e+01
6.494497987667949701e+01,7.350012222408889784e+01
6.473921244487144122e+01,7.381690350721893878e+01
6.453744998791960086e+01,7.413625054149227367e+01
6.433972449427899676e+01,7.445811269599167304e+01
6.414606731236385428e+01,7.478243894103989930e+01
6.395650914557725741e+01,7.510917785629017374e+01
6.377108004744351888e+01,7.543827763887856008e+01
6.358980941684316690e+01,7.576968611163709966e+01
6.341272599335194826e+01,7.610335073136631934e+01
6.323985785268433801e+01,7.643921859716556355e+01
6.307123240224225924e+01,7.677723645882024073e+01
6.290687637676968791e+01,7.711735072524444945e+01
6.274681583411414465e+01,7.745950747297743533e+01
6.259107615109522271e+01,7.780365245473305436e+01
6.243968201948126051e+01,7.814973110800031009e+01
6.229265744207461353e+01,7.849768856369395564e+01
6.215002572890605848e+01,7.884746965485386738e+01
6.201180949353914684e+01,7.919901892539132859e+01
6.187803064948496967e+01,7.955228063888137058e+01
6.174871040672775990e+01,7.990719878739963633e+01
6.162386926836227730e+01,8.026371710040196206e+01
6.150352702734309673e+01,8.062177905364592334e+01
6.138770276334648202e+01,8.098132787815249856e+01
6.127641483974548464e+01,8.134230656920641422e+01
6.116968090069846653e+01,8.170465789539399282e+01
6.106751786835169327e+01,8.206832440767706771e+01
6.096994194015645974e+01,8.243324844850094735e+01
6.087696858630101815e+01,8.279937216093608754e+01
6.078861254725786978e+01,8.316663749785072923e+01
6.070488783144676148e+01,8.353498623111411803e+01
6.062580771301365701e+01,8.390435996082837278e+01
6.055138472972625152e+01,8.427470012458735482e+01
6.048163068098614303e+01,8.464594800676145780e+01
6.041655662595806575e+01,8.501804474780686860e+01
6.035617288181657614e+01,8.539093135359725295e+01
6.030048902211024142e+01,8.576454870477704162e+01
6.024951387524387059e+01,8.613883756613464016e+01
6.020325552307876649e+01,8.651373859599370064e+01
6.016172129965140414e+01,8.688919235562154597e+01
6.012491779001065595e+01,8.726513931865295604e+01
6.009285082917374154e+01,8.764151988052761055e+01
6.006552550120116507e+01,8.801827436794032167e+01
6.004294613839060446e+01,8.839534304830171152e+01
6.002511632059007951e+01,8.877266613920869531e+01
6.001203887463037745e+01,8.915018381792266666e+01
6.000371587387688521e+01,8.952783623085402098e+01
6.000014863790082131e+01,8.990556350305168110e+01
6.000133773227008760e+01,9.028330574769609029e+01
6.000728296845956322e+01,9.066100307559379701e+01
6.001798340388100428e+01,9.103859560467269318e+01
6.003343734203248516e+01,9.141602346947605895e+01
6.005364233276736030e+01,9.179322683065383615e+01
6.007859517268273919e+01,9.217014588444995127e+01
6.010829190562736102e+01,9.254672087218391141e+01
6.014272782332883338e+01,9.292289208972513848e+01
6.018189746614010005e+01,9.329859989695897582e+01
6.022579462390503124e+01,9.367378472724210781e+01
6.027441233694301559e+01,9.404838709684666753e+01
6.032774289715241878e+01,9.442234761439118529e+01
6.038577784923261760e+01,9.479560699025664405e+01
6.044850799202454539e+01,9.516810604598659040e+01
6.051592337996956417e+01,9.553978572366972344e+01
6.058801332468619449e+01,9.591058709530307169e+01
6.066476639666474568e+01,9.628045137213479165e+01
6.074617042707940584e+01,9.664931991398495370e+01
6.083221250971759275e+01,9.701713423854246798e+01
6.092287900302605408e+01,9.738383603063726923e+01
6.101815553227383049e+01,9.774936715148598410e+01
6.111802699183113674e+01,9.811366964790934730e+01
6.122247754756442362e+01,9.847668576152059927e+01
6.133149063934669698e+01,9.883835793788269086e+01
6.144504898368310819e+01,9.919862883563321532e+01
6.156313457645116216e+01,9.955744133557577413e+01
6.168572869575515227e+01,9.991473854973577318e+01
6.181281190489443844e+01,1.002704638303797822e+02
6.194436405544507807e+01,1.006245607789968517e+02
6.208036429045421301e+01,1.009769732552400683e+02
6.222079104774682889e+01,1.013276453858274238e+02
6.236562206334441072e+01,1.016765215734003078e+02
6.251483437499469886e+01,1.020235465053380608e+02
6.266840432581227560e+01,1.023686651625275488e+02
6.282630756802928573e+01,1.027118228280863690e+02
6.298851906685558788e+01,1.030529650960376102e+02
6.315501310444798833e+01,1.033920378799359980e+02
6.332576328398755550e+01,1.037289874214427670e+02
6.350074253386481615e+01,1.040637602988489050e+02
6.367992311197180300e+01,1.043963034355449793e+02
6.386327661010039947e+01,1.047265641084359942e+02
6.405077395844631383e+01,1.050544899563004861e+02
6.424238543021805015e+01,1.053800289880921923e+02
6.443808064634980326e+01,1.057031295911828863e+02
6.463782858031801482e+01,1.060237405395452583e+02
6.484159756306047484e+01,1.063418110018747882e+02
6.504935528799725830e+01,1.066572905496485077e+02
6.526106881615274347e+01,1.069701291651203832e+02
6.547670458137801575e+01,1.072802772492513697e+02
6.569622839567259120e+01,1.075876856295729880e+02
6.591960545460469234e+01,1.078923055679835556e+02
6.614680034282939403e+01,1.081940887684752113e+02
6.637777703970350274e+01,1.084929873847910500e+02
6.661249892499652958e+01,1.087889540280110197e+02
6.685092878469657762e+01,1.090819417740650863e+02
6.709302881691040454e+01,1.093719041711728153e+02
6.733876063785689325e+01,1.096587952472081895e+02
6.758808528795242410e+01,1.099425695169881578e+02
6.784096323798783601e+01,1.102231819894840896e+02
6.809735439539562663e+01,1.105005881749549985e+02
6.835721811060626862e+01,1.107747440920010007e+02
6.862051318349315920e+01,1.110456062745364960e+02
6.888719786990465366e+01,1.113131317786814520e+02
6.915722988828235884e+01,1.115772781895699239e+02
6.943056642636474862e+01,1.118380036280747731e+02
6.970716414797475124e+01,1.120952667574473622e+02
6.998697919989049865e+01,1.123490267898712887e+02
7.026996721879814345e+01,1.125992434929291335e+02
7.055608333832532253e+01,1.128458771959811031e+02
7.084528219615452826e+01,1.130888887964545688e+02
7.113751794121520788e+01,1.133282397660436800e+02
7.143274424095301356e+01,1.135638921568177437e+02
7.173091428867579111e+01,1.137958086072377313e+02
7.203198081097443151e+01,1.140239523480798027e+02
7.233589607521793141e+01,1.142482872082647987e+02
7.264261189712104283e+01,1.144687776205930732e+02
7.295207964838387227e+01,1.146853886273834604e+02
7.326425026440138311e+01,1.148980858860156360e+02
7.357907425204261642e+01,1.151068356743750201e+02
7.389650169749738495e+01,1.153116048961991993e+02
7.421648227418992860e+01,1.155123610863251855e+02
7.453896525075806778e+01,1.157090724158366584e+02
7.486389949909619190e+01,1.159017076971102398e+02
7.519123350246154303e+01,1.160902363887601183e+02
7.552091536364190461e+01,1.162746286004803267e+02
7.585289281318358690e+01,1.164548550977836072e+02
7.618711321767857214e+01,1.166308873066364526e+02
7.652352358810929900e+01,1.168026973179893417e+02
7.686207058824967930e+01,1.169702578922016585e+02
7.720270054312145191e+01,1.171335424633602855e+02
7.754535944750402621e+01,1.172925251434916305e+02
7.788999297449672099e+01,1.174471807266659198e+02
7.823654648413207724e+01,1.175974846929935751e+02
7.858496503203873829e+01,1.177434132125126496e+02
7.893519337815257586e+01,1.178849431489669968e+02
7.928717599547482564e+01,1.180220520634743906e+02
7.964085707887551280e+01,1.181547182180840991e+02
7.999618055394115856e+01,1.182829205792233438e+02
8.035309008586510515e+01,1.184066388210320611e+02
8.071152908837908058e+01,1.185258533285854980e+02
8.107144073272465334e+01,1.186405452010039738e+02
8.143276795666332646e+01,1.187506962544496503e+02
8.179545347352322437e+01,1.188562890250094028e+02
8.215943978128177605e+01,1.189573067714636352e+02
8.252466917168241878e+01,1.190537334779405683e+02
8.289108373938378804e+01,1.191455538564554786e+02
8.325862539114051231e+01,1.192327533493344447e+02
8.362723585501349532e+01,1.193153181315225453e+02
8.399685668960863438e+01,1.193932351127755851e+02
8.436742929334259600e+01,1.194664919397356329e+02
8.473889491373356009e+01,1.195350769978894903e+02
8.511119465671630735e+01,1.195989794134102056e+02
8.548426949597958924e+01,1.196581890548809355e+02
8.585806028232434528e+01,1.197126965349013972e+02
8.623250775304161664e+01,1.197624932115760146e+02
8.660755254130837955e+01,1.198075711898842428e+02
8.698313518559976387e+01,1.198479233229321039e+02
8.735919613911642045e+01,1.198835432130854031e+02
8.773567577922553085e+01,1.199144252129840140e+02
8.811251441691338471e+01,1.199405644264372626e+02
8.848965230624911271e+01,1.199619567092001091e+02
8.886702965385686070e+01,1.199785986696303155e+02
8.924458662839582246e+01,1.199904876692260842e+02
8.962226337004628363e+01,1.199976218230444260e+02
8.999999999999998579e+01,1.200000000000000000e+02
